,Class
799,1
800,0
801,3
802,1
803,0
804,0
805,0
806,0
807,2
808,3
809,2
810,0
811,0
812,1
813,0
814,2
815,3
816,1
817,2
818,0
819,2
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,2
831,0
832,3
833,0
834,0
835,0
836,0
837,3
838,0
839,0
840,0
841,3
842,0
843,3
844,0
845,2
846,0
847,3
848,1
849,0
850,0
851,0
852,2
853,1
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,2
866,0
867,3
868,0
869,0
870,1
871,3
872,2
873,0
874,3
875,2
876,2
877,1
878,0
879,2
880,0
881,1
882,3
883,3
884,2
885,3
886,1
887,0
888,0
889,1
890,2
891,0
892,3
893,0
894,2
895,1
896,2
897,0
898,1
899,0
900,1
901,2
902,2
903,3
904,3
905,1
906,1
907,1
908,3
909,0
910,3
911,0
912,2
913,0
914,0
915,3
916,1
917,0
918,3
919,2
920,2
921,0
922,0
923,0
924,0
925,0
926,1
927,3
928,2
929,3
930,0
931,0
932,0
933,0
934,0
935,0
936,2
937,2
938,3
939,2
940,0
941,3
942,2
943,0
944,3
945,2
946,0
947,0
948,2
949,0
950,0
951,3
952,0
953,1
954,0
955,2
956,3
957,0
958,2
959,3
960,1
961,0
962,3
963,0
964,2
965,0
966,2
967,1
968,2
969,0
970,0
971,1
972,0
973,0
974,3
975,2
976,0
977,0
978,0
979,0
980,0
981,2
982,1
983,0
984,2
985,2
986,2
987,0
988,0
989,3
990,0
991,2
992,0
993,3
994,2
995,0
996,0
997,0
998,0
999,0
1000,3
1001,0
1002,3
1003,3
1004,3
1005,1
1006,0
1007,3
1008,0
1009,3
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,2
1018,2
1019,0
1020,3
1021,2
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,2
1035,0
1036,2
1037,0
1038,0
1039,3
1040,0
1041,2
1042,0
1043,3
1044,3
1045,3
1046,0
1047,2
1048,2
1049,2
1050,0
1051,1
1052,3
1053,0
1054,0
1055,0
1056,2
1057,0
1058,1
1059,3
1060,2
1061,1
1062,1
1063,3
1064,2
1065,0
1066,0
1067,1
1068,3
1069,0
1070,3
1071,2
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,2
1079,0
1080,0
1081,0
1082,0
1083,0
1084,3
1085,0
1086,3
1087,3
1088,0
1089,3
1090,0
1091,0
1092,3
1093,0
1094,0
1095,2
1096,3
1097,0
1098,3
1099,1
1100,3
1101,3
1102,2
1103,0
1104,0
1105,2
1106,1
1107,0
1108,3
1109,1
1110,0
1111,0
1112,2
1113,1
1114,0
1115,0
1116,0
1117,2
1118,0
1119,0
1120,0
1121,3
1122,3
1123,2
1124,0
1125,0
1126,1
1127,0
1128,1
1129,0
1130,3
1131,0
1132,2
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,2
1143,0
1144,1
1145,0
1146,2
1147,0
1148,0
1149,0
1150,0
1151,0
1152,3
1153,1
1154,0
1155,0
1156,1
1157,1
1158,0
1159,2
1160,3
1161,0
1162,3
1163,0
1164,0
1165,1
1166,0
1167,3
1168,0
1169,2
1170,0
1171,3
1172,3
