,Classes
798,0
799,0
800,2
801,2
802,0
803,2
804,2
805,2
806,2
807,2
808,2
809,3
810,2
811,2
812,0
813,3
814,2
815,2
816,0
817,3
818,3
819,1
820,3
821,3
822,2
823,3
824,1
825,3
826,2
827,3
828,0
829,2
830,2
831,2
832,1
833,2
834,2
835,3
836,2
837,2
838,2
839,2
840,2
841,1
842,3
843,2
844,3
845,2
846,3
847,2
848,0
849,3
850,2
851,2
852,1
853,0
854,2
855,2
856,3
857,2
858,0
859,2
860,2
861,2
862,2
863,3
864,0
865,2
866,2
867,2
868,2
869,2
870,0
871,2
872,2
873,2
874,1
875,2
876,2
877,0
878,2
879,2
880,2
881,0
882,2
883,2
884,2
885,2
886,0
887,2
888,2
889,0
890,2
891,2
892,2
893,2
894,1
895,0
896,1
897,2
898,0
899,2
900,0
901,3
902,2
903,2
904,1
905,0
906,0
907,0
908,2
909,2
910,2
911,2
912,2
913,3
914,3
915,1
916,0
917,2
918,3
919,1
920,1
921,2
922,2
923,2
924,2
925,2
926,0
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,1
935,2
936,2
937,2
938,1
939,2
940,2
941,1
942,2
943,3
944,2
945,3
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,0
954,3
955,2
956,2
957,2
958,1
959,1
960,0
961,2
962,1
963,2
964,2
965,3
966,2
967,0
968,2
969,2
970,2
971,0
972,1
973,2
974,3
975,2
976,2
977,2
978,2
979,3
980,2
981,1
982,0
983,2
984,2
985,2
986,2
987,2
988,2
989,2
990,2
991,2
992,2
993,2
994,2
995,2
996,2
997,2
998,2
999,2
1000,2
1001,2
1002,1
1003,2
1004,1
1005,0
1006,2
1007,3
1008,2
1009,2
1010,2
1011,0
1012,1
1013,2
1014,2
1015,3
1016,2
1017,1
1018,2
1019,2
1020,2
1021,3
1022,2
1023,0
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,0
1033,2
1034,2
1035,2
1036,3
1037,2
1038,2
1039,1
1040,3
1041,2
1042,2
1043,2
1044,3
1045,2
1046,2
1047,2
1048,2
1049,1
1050,3
1051,0
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,0
1059,2
1060,2
1061,0
1062,0
1063,1
1064,2
1065,2
1066,2
1067,0
1068,1
1069,2
1070,2
1071,1
1072,2
1073,2
1074,2
1075,2
1076,0
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,3
1084,2
1085,2
1086,1
1087,2
1088,2
1089,1
1090,3
1091,2
1092,2
1093,2
1094,2
1095,2
1096,1
1097,2
1098,3
1099,0
1100,2
1101,1
1102,2
1103,2
1104,2
1105,2
1106,0
1107,2
1108,1
1109,0
1110,3
1111,2
1112,1
1113,0
1114,2
1115,2
1116,2
1117,2
1118,3
1119,2
1120,2
1121,2
1122,2
1123,1
1124,2
1125,2
1126,0
1127,2
1128,0
1129,2
1130,1
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,0
1138,2
1139,3
1140,2
1141,2
1142,1
1143,2
1144,0
1145,2
1146,1
1147,2
1148,2
1149,2
1150,2
1151,1
1152,1
1153,0
1154,2
1155,3
1156,0
1157,0
1158,2
1159,2
1160,1
1161,2
1162,2
1163,2
1164,3
1165,0
1166,2
1167,2
1168,2
1169,2
1170,2
1171,2
1172,2
